username,date,signal
KOFETH,2020-10-29 08:14:18,0
KOFETH,2020-10-28 14:28:56,0
KOFETH,2020-10-28 13:57:59,0
KOFETH,2020-10-28 12:36:50,0
KOFETH,2020-10-28 12:36:41,0
KOFETH,2020-10-28 09:40:17,0
KOFETH,2020-10-28 09:39:02,0
KOFETH,2020-10-28 09:38:12,0
KOFETH,2020-10-28 09:37:28,0
KOFETH,2020-10-28 09:36:14,0
KOFETH,2020-10-28 07:39:03,0
KOFETH,2020-10-27 09:08:31,0
KOFETH,2020-10-27 09:06:40,0
KOFETH,2020-10-27 07:25:59,0
KOFETH,2020-10-26 13:21:32,0
KOFETH,2020-10-26 12:57:22,0
KOFETH,2020-10-26 09:14:50,0
KOFETH,2020-10-26 08:49:19,0
KOFETH,2020-10-26 07:50:25,0
KOFETH,2020-10-26 07:49:23,0
KOFETH,2020-10-23 07:07:08,0
KOFETH,2020-10-23 05:59:49,0
KOFETH,2020-10-22 14:17:03,0
KOFETH,2020-10-22 08:58:33,0
KOFETH,2020-10-22 08:58:33,0
KOFETH,2020-10-22 08:32:55,0
KOFETH,2020-10-22 08:27:30,-1
KOFETH,2020-10-22 08:23:57,0
KOFETH,2020-10-22 06:26:39,0
KOFETH,2020-10-21 08:52:32,0
KOFETH,2020-10-21 06:54:53,0
KOFETH,2020-10-20 10:39:08,0
KOFETH,2020-10-20 07:02:38,0
KOFETH,2020-10-19 09:42:11,0
KOFETH,2020-10-19 06:44:35,0
KOFETH,2020-10-16 08:41:00,0
KOFETH,2020-10-16 08:29:52,0
KOFETH,2020-10-15 06:53:06,0
KOFETH,2020-10-14 08:08:34,0
KOFETH,2020-10-14 07:16:52,0
KOFETH,2020-10-14 07:16:11,0
KOFETH,2020-10-14 07:15:51,0
KOFETH,2020-10-14 07:14:48,0
KOFETH,2020-10-14 07:14:14,0
KOFETH,2020-10-14 06:35:18,0
KOFETH,2020-10-13 07:11:03,0
KOFETH,2020-10-12 07:44:58,0
KOFETH,2020-10-12 07:44:50,0
KOFETH,2020-10-12 07:40:36,0
KOFETH,2020-10-09 12:23:37,0
KOFETH,2020-10-09 07:30:39,0
KOFETH,2020-10-09 06:25:09,0
KOFETH,2020-10-08 06:52:25,0
KOFETH,2020-10-07 15:45:42,1
KOFETH,2020-10-07 07:12:29,0
KOFETH,2020-10-07 06:26:02,0
KOFETH,2020-10-06 07:00:39,0
KOFETH,2020-10-06 06:58:28,0
KOFETH,2020-10-05 10:06:50,0
KOFETH,2020-10-05 09:36:01,0
KOFETH,2020-10-05 07:06:22,0
KOFETH,2020-10-05 06:54:51,0
KOFETH,2020-10-02 08:49:02,0
KOFETH,2020-10-02 08:47:51,0
KOFETH,2020-10-02 08:46:58,0
KOFETH,2020-10-02 07:03:31,0
KOFETH,2020-10-02 07:01:15,0
KOFETH,2020-10-01 08:29:15,0
KOFETH,2020-10-01 06:48:16,0
KOFETH,2020-09-30 07:10:37,0
KOFETH,2020-09-30 07:09:00,0
KOFETH,2020-09-30 07:04:44,0
KOFETH,2020-09-29 09:09:40,0
KOFETH,2020-09-29 09:08:41,0
KOFETH,2020-09-29 09:06:52,0
KOFETH,2020-09-28 15:26:57,0
KOFETH,2020-09-28 06:32:33,0
KOFETH,2020-09-25 12:04:25,1
KOFETH,2020-09-24 11:12:51,0
KOFETH,2020-09-24 09:08:14,0
KOFETH,2020-09-24 07:45:20,0
KOFETH,2020-09-24 07:41:56,0
KOFETH,2020-09-23 07:41:13,0
KOFETH,2020-09-23 07:11:38,0
KOFETH,2020-09-23 06:55:48,0
KOFETH,2020-09-22 07:36:10,0
KOFETH,2020-09-21 10:27:13,0
KOFETH,2020-09-21 07:17:27,0
KOFETH,2020-09-21 06:57:39,0
KOFETH,2020-09-18 09:18:51,0
KOFETH,2020-09-18 09:14:53,0
KOFETH,2020-09-18 09:13:41,0
KOFETH,2020-09-17 06:45:36,0
KOFETH,2020-09-15 06:47:49,0
KOFETH,2020-09-15 06:45:46,0
KOFETH,2020-09-15 06:28:50,0
KOFETH,2020-09-14 11:50:25,0
KOFETH,2020-09-14 08:00:03,0
KOFETH,2020-09-14 07:59:55,0
KOFETH,2020-09-11 14:32:48,0
KOFETH,2020-09-11 06:44:44,0
KOFETH,2020-09-11 06:34:29,0
KOFETH,2020-09-10 12:49:00,0
KOFETH,2020-09-10 08:23:31,0
KOFETH,2020-09-10 07:56:55,0
KOFETH,2020-09-10 07:12:01,0
KOFETH,2020-09-09 07:25:51,0
KOFETH,2020-09-08 14:00:05,0
KOFETH,2020-09-04 13:56:06,0
KOFETH,2020-09-04 13:41:12,0
KOFETH,2020-09-04 13:19:04,0
KOFETH,2020-09-04 08:46:25,0
KOFETH,2020-09-04 08:30:13,0
KOFETH,2020-09-04 07:38:15,0
KOFETH,2020-09-03 11:28:21,0
KOFETH,2020-09-02 09:04:41,0
KOFETH,2020-09-02 07:08:04,0
KOFETH,2020-09-01 08:50:48,0
KOFETH,2020-08-31 08:46:59,0
KOFETH,2020-08-31 07:46:07,0
KOFETH,2020-08-31 07:00:47,0
KOFETH,2020-08-31 06:48:44,0
KOFETH,2020-08-28 07:06:16,0
KOFETH,2020-08-28 07:03:38,0
KOFETH,2020-08-28 06:28:02,0
KOFETH,2020-08-27 12:10:44,0
KOFETH,2020-08-27 11:41:27,0
KOFETH,2020-08-27 06:40:57,0
KOFETH,2020-08-27 06:30:12,0
KOFETH,2020-08-26 07:59:37,0
KOFETH,2020-08-26 07:29:29,0
KOFETH,2020-08-24 09:06:35,0
KOFETH,2020-08-24 07:46:10,0
KOFETH,2020-08-21 06:55:42,0
KOFETH,2020-08-20 11:54:19,0
KOFETH,2020-08-19 08:06:55,0
KOFETH,2020-08-19 07:25:50,0
KOFETH,2020-08-19 06:39:16,0
KOFETH,2020-08-17 09:04:45,0
KOFETH,2020-08-17 09:04:34,0
KOFETH,2020-08-14 09:48:04,0
KOFETH,2020-08-14 06:43:07,0
KOFETH,2020-08-12 07:07:46,0
KOFETH,2020-08-10 12:27:43,0
KOFETH,2020-08-10 09:15:12,0
KOFETH,2020-08-10 08:58:58,0
KOFETH,2020-08-10 07:05:58,0
KOFETH,2020-08-10 07:04:49,-1
KOFETH,2020-08-10 07:03:32,0
KOFETH,2020-08-10 07:02:40,0
KOFETH,2020-08-07 08:57:36,0
KOFETH,2020-08-07 08:37:58,0
KOFETH,2020-08-05 09:11:44,0
KOFETH,2020-08-05 08:48:16,0
KOFETH,2020-08-05 08:24:46,0
KOFETH,2020-08-05 08:20:36,0
KOFETH,2020-08-05 07:04:12,0
KOFETH,2020-08-04 09:20:06,0
KOFETH,2020-08-03 07:09:07,0
KOFETH,2020-08-03 07:06:19,0
KOFETH,2020-08-03 07:04:42,0
KOFETH,2020-08-03 06:46:09,0
KOFETH,2020-07-31 07:06:46,0
KOFETH,2020-07-30 07:14:08,0
KOFETH,2020-07-30 07:08:03,0
KOFETH,2020-07-30 07:05:37,0
KOFETH,2020-07-29 06:12:52,0
KOFETH,2020-07-28 06:24:46,0
KOFETH,2020-07-27 06:56:41,0
KOFETH,2020-07-27 06:56:16,0
KOFETH,2020-07-24 10:48:31,0
KOFETH,2020-07-24 08:55:11,0
KOFETH,2020-07-23 06:17:46,0
KOFETH,2020-07-22 13:07:05,0
KOFETH,2020-07-22 13:05:38,0
KOFETH,2020-07-22 11:45:29,0
KOFETH,2020-07-22 09:25:35,0
KOFETH,2020-07-22 07:13:28,0
KOFETH,2020-07-22 07:11:24,0
KOFETH,2020-07-22 06:50:53,0
KOFETH,2020-07-21 07:50:13,0
KOFETH,2020-07-20 09:28:22,0
KOFETH,2020-07-20 09:04:51,0
KOFETH,2020-07-20 07:44:19,0
